Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios

3D Kanojo: Real Girl,6.81,4515,669,"Romance, School, Shoujo",12,"Apr 4, 2018","Jun 20, 2018","Nippon Television Network, DeNA",Hoods Entertainment
3D Kanojo: Real Girl 2nd Season,7.67,1115,1244,"Romance, School, Shoujo",12,"Jan 9, 2019","Mar 27, 2019","VAP, Docomo Anime Store, DeNA, D.N. Dream Partners",Hoods Entertainment
5-toubun no Hanayome,7.67,1116,213,"Harem, Comedy, Romance, School, Shounen",12,"Jan 11, 2019","Mar 29, 2019","None found, add some",Tezuka Productions
5-toubun no Hanayome ∬,7.67,1116,213,"Harem, Comedy, Romance, School, Shounen",12,"Jan 11, 2019","Mar 29, 2019","None found, add some",Tezuka Productions
91 Days,7.83,790,263,"Action, Drama, Historical",12,"Jul 9, 2016","Oct 1, 2016","Shochiku, Mainichi Broadcasting System, Shochiku Music Publishing",Shuka
Accel World,7.27,2529,214,"Action, Game, Sci-Fi, Romance, School",24,"Apr 7, 2012","Sep 22, 2012","Genco, Rakuonsha, Warner Bros. Japan, flying DOG, ASCII Media Works",Sunrise
Aho Girl,6.83,4425,410,"Comedy, Romance, School, Shounen",12,"Jul 4, 2017","Sep 19, 2017","Nihon Ad Systems, Kodansha, Movic, KlockWorx, Sony Music Entertainment, King Records, BS11, Animatic, Marui Group",Diomedéa
Akkun to Kanojo,6.84,4375,1287,"Comedy, Josei, Romance, School",25,"Apr 6, 2018","Sep 21, 2018","None found, add some",Yumeta Company
Amagi Brilliant Park,7.50,1605,265,"Comedy, Drama, Fantasy, Magic",13,"Oct 7, 2014","Dec 26, 2014","Avex Entertainment, TBS, DAX Production, flying DOG, Mobcast",Kyoto Animation
Angel Beats!,8.11,412,19,"Action, Comedy, Drama, School, Supernatural",13,"Apr 3, 2010","Jun 26, 2010","Aniplex, Dentsu, Mainichi Broadcasting System, CBC Television, Movic, Visual Arts, ASCII Media Works",P.A. Works
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.37,172,55,"Slice of Life, Supernatural, Drama",11,"Apr 15, 2011","Jun 24, 2011","Aniplex, Dentsu, Fuji TV, Fujipacific Music",A-1 Pictures
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8.37,172,55,"Slice of Life, Supernatural, Drama",11,"Apr 15, 2011","Jun 24, 2011","Aniplex, Dentsu, Fuji TV, Fujipacific Music",A-1 Pictures
Ao Haru Ride,7.66,1138,163,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",12,"Jul 8, 2014","Sep 23, 2014","Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha, BS11, Animatic, Hakuhodo DY Media Partners, Sony PCL",Production I.G
Arifureta Shokugyou de Sekai Saikyou,6.61,5482,352,"Action, Adventure, Harem, Fantasy",13,"Jul 8, 2019","Oct 7, 2019","AT-X, Sony Music Communications, Bushiroad, Toranoana, Hakuhodo DY Music & Pictures, Overlap, FuRyu, Bandai Namco Arts","asread., White Fox"
Arslan Senki (TV),7.69,1071,498,"Action, Adventure, Drama, Fantasy, Historical, Shounen",25,"Apr 5, 2015","Sep 27, 2015","Dentsu, Mainichi Broadcasting System, Kodansha, Magic Capsule, Ultra Super Pictures, Graphinica, NBCUniversal Entertainment Japan","SANZIGEN, LIDENFILMS"
Bakemonogatari,8.35,186,74,"Romance, Supernatural, Mystery, Vampire",15,"Jul 3, 2009","Jun 25, 2010","Aniplex, Kodansha",Shaft
Blend S,7.33,2249,288,"Slice of Life, Comedy",12,"Oct 8, 2017","Dec 24, 2017","Aniplex, Houbunsha, Kansai Telecasting, Lawson, Contents Seed, Kinoshita Group Holdings, Drecom",A-1 Pictures
Boku dake ga Inai Machi,8.33,202,31,"Mystery, Psychological, Supernatural, Seinen",12,"Jan 8, 2016","Mar 25, 2016","Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson, C-one",A-1 Pictures
Boku no Hero Academia,8.01,540,6,"Action, Comedy, School, Shounen, Super Power",13,"Apr 3, 2016","Jun 26, 2016","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha",Bones
Boku no Hero Academia 2nd Season,8.23,280,15,"Action, Comedy, Super Power, School, Shounen",25,"Apr 1, 2017","Sep 30, 2017","Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Bones
Boku no Hero Academia 3rd Season,8.16,348,26,"Action, Comedy, Super Power, School, Shounen",25,"Apr 7, 2018","Sep 29, 2018","Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Bones
Boku no Hero Academia 4th Season,8.01,541,63,"Action, Comedy, Super Power, School, Shounen",25,"Oct 12, 2019","Apr 4, 2020","Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Bones
Boku wa Tomodachi ga Sukunai,7.22,2735,169,"Ecchi, Slice of Life, Comedy, Harem, Romance, School",12,"Oct 7, 2011","Dec 23, 2011","AIC, Media Factory, TBS, Bushiroad, Bandai Namco Games, Good Smile Company",AIC Build
Boku wa Tomodachi ga Sukunai Next,7.35,2160,341,"Harem, Slice of Life, Comedy, Romance, School",12,"Jan 11, 2013","Mar 29, 2013","AIC, Media Factory, TBS, Magic Capsule, Bandai Namco Games, Good Smile Company",AIC Build
Boruto: Naruto the Movie,7.45,1778,430,"Action, Comedy, Martial Arts, Shounen, Super Power",1,"Aug 7, 2015",?,"Toho, Shueisha",Studio Pierrot
Byousoku 5 Centimeter,7.65,1168,146,"Drama, Romance, Slice of Life",3,"Mar 3, 2007",?,"None found, add some",CoMix Wave Films
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,6.99,3779,489,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance",13,"Jul 6, 2012","Sep 28, 2012","Lantis, AT-X, Barnum Studio, Magic Capsule, Warner Bros. Japan, KlockWorx, Shueisha, Bulls Eye",Diomedéa
Captain Tsubasa: Road to 2002,7.41,1921,2535,"Action, Sports, Shounen",52,"Oct 7, 2001","Oct 6, 2002",TV Tokyo,"Madhouse, Group TAC"
Carole & Tuesday,7.92,647,646,"Drama, Music, Sci-Fi",24,"Apr 11, 2019","Oct 3, 2019","Fuji TV, flying DOG, BS Fuji, Hakuhodo DY Music & Pictures, Hakuhodo DY Media Partners",Bones
Charlotte,7.76,907,59,"Drama, School, Super Power",13,"Jul 5, 2015","Sep 27, 2015","Aniplex, Mainichi Broadcasting System, Movic, Visual Arts, ASCII Media Works, Tokyo MX, BS11",P.A. Works
ChäoS;Child,6.36,6775,1398,"Sci-Fi, Mystery, Psychological, Supernatural",12,"Jan 11, 2017","Mar 29, 2017","Kadokawa Shoten, AT-X, MAGES., Glovision, 5pb.",SILVER LINK.
ChäoS;HEAd,6.34,6873,630,"Sci-Fi, Harem, Mystery, Psychological, Supernatural",12,"Oct 9, 2008","Dec 25, 2008","VAP, Yomiuri Telecasting, Kids Station",Madhouse
Chihayafuru,8.21,307,413,"Drama, Game, Josei, School, Slice of Life, Sports",25,"Oct 5, 2011","Mar 28, 2012","VAP, Nippon Television Network",Madhouse
Chobits,7.42,1869,367,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",26,"Apr 3, 2002","Sep 25, 2002","TBS, Pioneer LDC",Madhouse
Chuunibyou demo Koi ga Shitai!,7.74,953,82,"Slice of Life, Comedy, Drama, Romance, School",12,"Oct 4, 2012","Dec 20, 2012","Lantis, Pony Canyon, TBS, Rakuonsha, Animation Do",Kyoto Animation
Citrus,6.49,6122,391,"Drama, Romance, School, Shoujo Ai",12,"Jan 6, 2018","Mar 24, 2018","Sotsu, Lantis, AT-X, KlockWorx, Happinet Pictures, BS Fuji, Tokyo MX, Infinite, Children's Playground Entertainment, Ichijinsha, Crunchyroll SC Anime Fund",Passione
Clannad,8.03,512,70,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",23,"Oct 5, 2007","Mar 28, 2008","Pony Canyon, TBS, Movic, Animation Do",Kyoto Animation
Classroom☆Crisis,7.01,3720,1452,"Drama, Romance, School, Sci-Fi",13,"Jul 4, 2015","Sep 26, 2015","Aniplex, Mainichi Broadcasting System",Lay-duce
Danshi Koukousei no Nichijou,8.26,253,193,"Slice of Life, Comedy, School",12,"Jan 10, 2012","Mar 27, 2012","TV Tokyo, Square Enix, Trinity Sound, Happinet Pictures",Sunrise
Dareka no Manazashi,7.36,2099,2188,"Drama, Slice of Life",1,"Feb 10, 2013",?,The Answer Studio,CoMix Wave Films
Darling in the FranXX,7.28,2453,66,"Action, Drama, Mecha, Romance, Sci-Fi",24,"Jan 13, 2018","Jul 7, 2018","Aniplex, Khara, Movic, Ultra Super Pictures, Lucent Pictures Entertainment, Tokyo MX, Nagoya Broadcasting Network, Asahi Broadcasting, BS11, Lawson, ABC Animation, Rialto Entertainment","A-1 Pictures, Trigger, CloverWorks"
Darwin's Game,7.27,2536,425,"Action, Sci-Fi, Mystery, Super Power, Shounen",11,"Jan 4, 2020","Mar 21, 2020","Aniplex, AT-X, Tokyo MX, Akita Shoten, BS11, Kanetsu Investment, CA-Cygames Anime Fund, Hochi Shimbun, ADK",Nexus
Deadman Wonderland,7.19,2907,88,"Action, Horror, Sci-Fi, Shounen, Supernatural",12,"Apr 17, 2011","Jul 3, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",Manglobe
Death Note,8.63,62,1,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",37,"Oct 4, 2006","Jun 27, 2007","VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",Madhouse
Death Parade,8.18,335,47,"Game, Mystery, Psychological, Drama, Thriller",12,"Jan 10, 2015","Mar 28, 2015","VAP, DAX Production, Nippon Television Network",Madhouse
Devilman: Crybaby,7.80,848,132,"Action, Dementia, Demons, Horror, Supernatural",10,"Jan 5, 2018",?,"Aniplex, Dynamic Planning, Netflix",Science SARU
Dive!!,6.08,8176,2597,"Comedy, Sports",12,"Jul 7, 2017","Sep 22, 2017","Aniplex, Dentsu, Fuji TV, DMM pictures",Zero-G
Domestic na Kanojo,6.73,4896,285,"Drama, Romance, School, Shounen",12,"Jan 12, 2019","Mar 30, 2019","Mainichi Broadcasting System, Kodansha, flying DOG, DMM pictures, Bit Promotion",Diomedéa
Dorohedoro,8.09,433,445,"Action, Comedy, Horror, Magic, Fantasy, Seinen",12,"Jan 13, 2020","Mar 30, 2020","Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Movic, TOHO animation, BS11, Shogakukan, Sumitomo, RAY, Pia",MAPPA
Dr. Stone,8.31,220,67,"Sci-Fi, Adventure, Comedy, Shounen",24,"Jul 5, 2019","Dec 13, 2019","TOHO animation, Shueisha",TMS Entertainment
Dr. Stone: Stone Wars,8.20,315,197,"Sci-Fi, Adventure, Comedy, Shounen",11,"Jan 14, 2021","Mar 25, 2021","TOHO animation, Shueisha, Toho Music",TMS Entertainment
Dragon Ball,7.97,584,128,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",153,"Feb 26, 1986","Apr 12, 1989","Fuji TV, Harmony Gold",Toei Animation
Dragon Ball GT,6.46,6270,290,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",64,"Feb 7, 1996","Nov 19, 1997",Fuji TV,Toei Animation
Dragon Ball Kai,7.71,1025,539,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",97,"Apr 5, 2009","Mar 27, 2011","None found, add some",Toei Animation
Dragon Ball Super,7.40,1942,216,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen",131,"Jul 5, 2015","Mar 25, 2018","Yomiko Advertising, Fuji TV",Toei Animation
Dragon Ball Super: Broly,8.11,415,648,"Action, Adventure, Super Power, Martial Arts, Fantasy, Shounen",1,"Dec 14, 2018",?,"Shueisha, Echoes",Toei Animation
Dragon Ball Z,8.15,369,96,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen",291,"Apr 26, 1989","Jan 31, 1996",Fuji TV,Toei Animation
Dragon Ball Z Movie 14: Kami to Kami,7.39,1996,974,"Action, Adventure, Super Power, Martial Arts, Fantasy, Shounen",1,"Mar 30, 2013",?,"None found, add some",Toei Animation
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.59,1337,65,"Action, Adventure, Comedy, Romance, Fantasy",13,"Apr 4, 2015","Jun 27, 2015","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, Showgate, MAGES., FuRyu",J.C.Staff
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.04,3572,451,"Action, Adventure, Fantasy",12,"Apr 15, 2017","Jul 1, 2017","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, MAGES., Hakuhodo DY Music & Pictures, FuRyu, Imagine",J.C.Staff
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,7.23,2713,231,"Action, Adventure, Comedy, Romance, Fantasy",12,"Jul 13, 2019","Sep 28, 2019","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE",J.C.Staff
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.45,1780,404,"Action, Adventure, Comedy, Romance, Fantasy",12,"Oct 3, 2020","Dec 19, 2020","Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",J.C.Staff
Enen no Shouboutai,7.67,1123,112,"Action, Supernatural, Shounen",24,"Jul 6, 2019","Dec 28, 2019","Mainichi Broadcasting System, Kodansha, bilibili, DMM pictures, DMM Music",David Production
Enen no Shouboutai: Ni no Shou,7.75,940,321,"Action, Supernatural, Shounen",24,"Jul 4, 2020","Dec 12, 2020","Mainichi Broadcasting System, DMM pictures",David Production
Eromanga-sensei,6.43,6453,239,"Comedy, Drama, Romance, Ecchi",12,"Apr 9, 2017","Jun 25, 2017","Aniplex, Movic, ASCII Media Works, BS11, Kinoshita Group Holdings",A-1 Pictures
Fairy Tail,7.61,1267,38,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",175,"Oct 12, 2009","Mar 30, 2013","TV Tokyo, Dentsu, Pony Canyon, Kodansha, DAX Production, Sakura Create","Satelight, A-1 Pictures"
Fairy Tail (2014),7.68,1094,136,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",102,"Apr 5, 2014","Mar 26, 2016","TV Tokyo, Dentsu","A-1 Pictures, Bridge"
Fairy Tail: Final Series,7.53,1517,419,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",51,"Oct 7, 2018","Sep 29, 2019","TV Tokyo, Dentsu, Kodansha, Avex Pictures","A-1 Pictures, Bridge, CloverWorks"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,7.94,620,867,"Action, Supernatural, Magic, Fantasy",21,"Oct 5, 2019","Mar 21, 2020","Aniplex, Notes, Delightworks, FILMONY",CloverWorks
Fate/stay night,7.31,2340,135,"Action, Supernatural, Magic, Romance, Fantasy",24,"Jan 7, 2006","Jun 17, 2006","Geneon Universal Entertainment, Frontier Works, TBS, KlockWorx, Notes",Studio Deen
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.22,287,486,"Action, Fantasy, Magic, Supernatural",1,"Oct 14, 2017",?,"Aniplex, Notes, Kadokawa",ufotable
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.56,85,637,"Action, Fantasy, Magic, Supernatural",1,"Jan 12, 2019",?,"Aniplex, Notes, Kadokawa",ufotable
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.77,33,816,"Action, Supernatural, Magic, Fantasy",1,"Aug 15, 2020",?,"Aniplex, Notes, Kadokawa",ufotable
Fate/stay night: Unlimited Blade Works,8.20,316,125,"Action, Supernatural, Magic, Fantasy",12,"Oct 12, 2014","Dec 28, 2014","Aniplex, Notes",ufotable
Fate/stay night: Unlimited Blade Works 2nd Season,8.33,203,170,"Action, Fantasy, Magic, Supernatural",13,"Apr 5, 2015","Jun 28, 2015","Aniplex, Notes",ufotable
Fate/Zero,8.31,221,62,"Action, Supernatural, Magic, Fantasy",13,"Oct 2, 2011","Dec 25, 2011","Aniplex, Nitroplus, Seikaisha, Notes",ufotable
Fate/Zero 2nd Season,8.58,76,111,"Action, Supernatural, Magic, Fantasy",12,"Apr 8, 2012","Jun 24, 2012","Aniplex, Nitroplus, Seikaisha, Notes",ufotable
Fruits Basket,9.08,6,687,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",13,"Apr 6, 2021","Jun 29, 2021","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",TMS Entertainment
Fruits Basket 1st Season,8.22,288,278,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",25,"Apr 6, 2019","Sep 21, 2019","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",TMS Entertainment
Fullmetal Alchemist,8.14,375,58,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",51,"Oct 4, 2003","Oct 2, 2004","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones
Fullmetal Alchemist: Brotherhood,9.16,2,3,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",64,"Apr 5, 2009","Jul 4, 2010","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones
Gake no Ue no Ponyo,7.89,705,365,"Adventure, Fantasy",1,"Jul 19, 2008",?,"Dentsu, d-rights, Toho",Studio Ghibli
Gamers!,6.84,4381,289,"Game, Comedy, Romance, School",12,"Jul 13, 2017","Sep 28, 2017","Sony Pictures Entertainment, Frontier Works, Sotsu, Kadokawa Shoten, AT-X, NBCUniversal Entertainment Japan, Tokyo MX, i0+, Chugai Mining, BS11",Pine Jam
Gintama,8.95,15,123,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,"Apr 4, 2006","Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise
Gintama°,8.95,15,123,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",201,"Apr 4, 2006","Mar 25, 2010","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha",Sunrise
Girls & Panzer,7.53,1521,686,"Action, Military, Sports, School",12,"Oct 9, 2012","Mar 25, 2013","Lantis, Movic, Showgate, Cyclone Graphics",Actas
Gleipnir,7.02,3668,466,"Action, Mystery, Supernatural, Ecchi, Seinen",13,"Apr 5, 2020","Jun 28, 2020","Kodansha, bilibili, Good Smile Film",Pine Jam
Goblin Slayer,7.43,1854,129,"Action, Adventure, Fantasy",12,"Oct 7, 2018","Dec 30, 2018","Sony Pictures Entertainment, Frontier Works, AT-X, SoftBank Creative, Bushiroad, Hakuhodo DY Music & Pictures, Good Smile Film, Artist Management Office",White Fox
Golden Time,7.76,911,134,"Comedy, Drama, Romance",24,"Oct 4, 2013","Mar 28, 2014","Genco, Starchild Records",J.C.Staff
Great Pretender,8.31,222,373,"Action, Adventure, Mystery, Comedy, Psychological",23,"Jul 9, 2020","Dec 17, 2020","Production I.G, Fuji TV, BS Fuji, TOHO animation, Hakuhodo DY Media Partners",Wit Studio
Grisaia no Kajitsu,7.52,1548,309,"Drama, Harem, Psychological, Romance, School",13,"Oct 5, 2014","Dec 28, 2014","Frontier Works, AT-X, Bushiroad, NBCUniversal Entertainment Japan, Front Wing",8bit
Guilty Crown,7.47,1713,89,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha",22,"Oct 14, 2011","Mar 23, 2012","Aniplex, Dentsu, Movic, Fuji TV, Fujipacific Music",Production I.G
Hagure Yuusha no Aesthetica,6.83,4436,461,"Action, Super Power, Ecchi, Fantasy",12,"Jul 6, 2012","Sep 21, 2012","Genco, Lantis, Media Factory, AT-X, Showgate",Arms
Haikyuu!!,8.47,122,37,"Comedy, Sports, Drama, School, Shounen",25,"Apr 6, 2014","Sep 21, 2014","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha, Spacey Music Entertainment",Production I.G
Haikyuu!! Second Season,8.67,51,84,"Comedy, Sports, Drama, School, Shounen",25,"Oct 4, 2015","Mar 27, 2016","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.82,25,113,"Comedy, Sports, Drama, School, Shounen",10,"Oct 8, 2016","Dec 10, 2016","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Haikyuu!!: To the Top,8.36,177,215,"Comedy, Sports, Drama, School, Shounen",13,"Jan 11, 2020","Apr 4, 2020","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Production I.G
Hataraku Maou-sama!,7.80,849,64,"Comedy, Demons, Supernatural, Romance, Fantasy",13,"Apr 4, 2013","Jun 27, 2013","Sotsu, Lantis, Pony Canyon, Magic Capsule, Infinite",White Fox
Hataraku Saibou (TV),7.59,1341,297,"Comedy, Shounen",13,"Jul 8, 2018","Sep 30, 2018","Aniplex, Kodansha, Magic Capsule",David Production
